,Colegio,colegio_id
714,liceo polivalente los heroes de la concepcion,714
715,liceo polivalente maria reina,715
716,liceo polivalente mercedes marin del solar,716
717,liceo polivalente moderno cardenal caro,717
718,liceo polivalente nahuelbuta,718
719,liceo polivalente nuevo amanecer,719
720,liceo polivalente san jose de la preciosa s.,720
721,liceo polivalente santa juliana,721
722,liceo polivalente santiago de compostela,722
723,liceo polivalente talagante,723
724,liceo polivante guillermo feliu,724
725,liceo profesional abdon cifuentes,725
726,liceo rafael sotomayor,726
727,liceo reino de dinamarca,727
728,liceo rene descartes,728
729,liceo republica de grecia,729
730,liceo republica de siria,730
731,liceo rosa ester alessandri,731
732,liceo ruiz tagle,732
733,liceo rural llifen,733
734,liceo salesiano camilo ortuzar montt,734
735,liceo salesiano manuel arriaran,735
736,liceo samca arumanti,736
737,liceo san francisco,737
738,liceo san francisco de asis,738
739,liceo san francisco de quito,739
740,liceo san isidro,740
741,liceo san pedro poveda,741
742,liceo santa maria de las condes,742
743,liceo santa marta,743
744,liceo santa teresita,744
745,liceo santiago bueras y avaria,745
746,liceo simon bolivar,746
747,liceo tecnico a-100,747
748,liceo tecnico a-27 clelia clavel d.,748
749,liceo tecnico felisa tolup z.,749
750,liceo tecnico juanita fernandez solar,750
751,liceo tecnico prof. de la madera,751
752,liceo tecnico prof. jorge sanchez ugarte,752
753,liceo tecnico prof. santa rosa,753
754,liceo tecnico profesional la araucana,754
755,liceo tecnologico enrique kirberg ,755
756,liceo teniente dagoberto godoy,756
757,liceo teno,757
758,liceo valentin letelier,758
759,liceo vicente alberto palacios,759
760,liceo villa macul academia ex liceo ex liceo juana de i.,760
761,liceo yobilo,761
762,liceo zapallar,762
763,lincoln college,763
764,lincoln internacional academy,764
765,lincoln international academy,765
766,lions school,766
767,lirima,767
768,lo barnechea bicentenario,768
769,lorenzo sazie,769
770,los alerces,770
771,los alpes,771
772,los andes,772
773,los aromos,773
774,los ceibos,774
775,los cipreses,775
776,los conquistadores,776
777,los nogales ,777
778,los pensamientos,778
