Colegio,lat,lon
centro san esteban martir/ lo barnechea,-33.3613483,-70.5058332
notre dame/ peñalolen,-33.4863711,-70.5599614
carampangue / talagante,-33.6825267,-70.9195218
san anselmo/ colina,-33.2666462,-70.6351397
alianza francesa de valparaiso/ viña del mar,-32.9578102,-71.5407083
maitenes/ melipilla,-33.829094,-71.3560885
the kent school/ providencia,-33.4423638,-70.6057159
centro educ. compañia de maria/ puente alto,,
san francisco de paine,-33.4802148,-70.5930866
quinto centenario cordillera/ la florida,,
colegio san andres maipu el bosque/ maipu,-33.5466758,-70.793828
santa cruz de chicureo/ colina,-33.287322,-70.6927863
american british school / la florida,-33.5214455,-70.5666015
liceo bicentenario francisco bilbao barquin,-33.3545974,-70.753441
highlands/ colina,-33.218462,-70.6624706
tecnico profes. nocedal/ la pintana,,
liceo carmela silva donoso/ ñuñoa,-33.4675598,-70.6056057
kings school/ san bernardo,-33.6237813,-70.7046123
heroes de maipu/ maipu,-33.5036633,-70.7277015
liceo catolico atacama/ copiapo,-27.3671883,-70.3375358
instituto de enseñanza media claudio matte/santiago,-33.4747693,-70.6496426
de humanidades / villarrica,-39.3040845,-72.2193018
lincoln internacional academy/ chicureo,,
san francisco del alba/ las condes,-33.4038878,-70.536644
bajo molle/ iquique,-20.2984657,-70.132294
san viator/ macul,-33.5063881,-70.6026652
liceo bicentenario de niñas/ maipu,-33.4922077,-70.7847068
santa isabel de hungria/ la cisterna,-33.5309318,-70.6655864
aleman / la serena,-29.9523968,-71.2268043
maria ana mogas/ paine,-33.8095622,-70.737383
liceo miguel rafael prado/ independencia,-33.4209328,-70.6621639
instituto politecnico maria auxiliadora/ puerto montt,-41.474643,-72.9508336
liceo jose miguel infante/ santiago,-33.4328779,-70.6638508
liceo industrial alberto widmer/ maipu,-33.5098667,-70.7675528
la virgen de pompeya/ las condes,-33.4061662,-70.5402434
monseñor manuel larrain errazuriz/ curico,,
lincoln international academy/ lo barnechea,-33.3696392,-70.5111799
casa de estudio futuro/ ñuñoa,,
north cross school/ curacavi,-33.4042717,-71.1285701
santa maria de los angeles/ la cisterna,-33.5447058,-70.6685385
liceo aleman del verbo divino/ los angeles,,
leonardo da vinci/ talagante,-33.6071377,-70.8689074
san felix/ maipu,-33.5341665,-70.7866625
instituto superior de comercio eduardo frei m./ santiago,,
hellens college/ conchali,,
colegio galileo/ quillota,-32.8584589,-71.2342493
elvira hurtado de matte/ quinta normal,-33.421406,-70.6967946
manquemavida/ santa cruz,-34.687753,-71.4018837
el rosario/ litueche,-34.1167192,-71.7312724
liceo santa maria de las condes/ las condes,-33.4251562,-70.531556
franciscano maria reina / estacion central,-33.455437,-70.6836666
liceo polivalente talagante/ talagante,-33.5634641,-70.7962697
green house school/ temuco,-38.7412778,-72.6369861
corazon de maria/ san miguel,-33.4979512,-70.6571403
colegio los pensamientos de san bernardo/ san bernardo,-33.6257956,-70.7049485
camilo henriquez / maipu,-39.8145512,-73.2458631
nuevo diego de almagro/ santiago,,
hispano chileno el pilar / rancagua,-34.1841184,-70.7088305
coyancura / las condes,-33.4290366,-70.5864568
aleman sankt thomas morus/providencia,-33.4260849,-70.6099821
complejo educ. alberto widmer/ maipu,,
lincoln college/ pudahuel,,
santa cecilia/ la florida,-33.5617815,-70.5754359
alicante / maipu,-33.4746394,-70.7568186
castelgandolfo / padre hurtado,-33.5627203,-70.7904698
polivalente domingo matte mesias/ puente alto,,
elena bettini/ independencia,-33.4021659,-70.6723994
intercultural trememn/ maipu,-33.5009992,-70.762768
jose luis lagrange/ la cisterna,-33.5311146,-70.6647552
ozanam/ santiago,-33.4286512,-70.6760158
saint joseph c. thomas school/ la florida,,
santa maria/ maipu,-33.5186849,-70.7492225
santiago/ la florida,-33.5533526,-70.5802372
superior del maipo/ san bernardo,-33.598409,-70.6961464
anglo/ maipu,-33.49371,-70.7367935
hermanos carrera de chile/ maipu,-33.5039834,-70.7633734
esc. basica madre de jesus/ maipu,,
instituto sagrado corazon/ rancagua,,
inmaculada concepcion/ san bernardo,-33.5907642,-70.7053866
scuola italiana giusseppe verdi/ copiapo,,
liceo valentin letelier/ recoleta,-33.4263317,-70.6454825
liceo comercial gabriel gonzalez videla/ ñuñoa,-33.4519365,-70.5910239
esc. de adultos jorge alessandri rodriguez/ recoleta,,
santa marta/ ñuñoa,-33.4386222,-70.5762211
san antonio del baluarte/ rengo,-34.4010093,-70.8660914
almenar del maipo/ puente alto,-33.5979007,-70.5141421
alto del valle/ buin,-33.7315594,-70.7729977
maria teresa cancino aguilar/ recoleta,-33.4120554,-70.638532
divina pastora/ ñuñoa,-33.4592571,-70.6053836
inmaculada concepcion/ puerto varas,-41.3189528,-72.9874146
villa el sol/ el bosque,-33.5539404,-70.6706787
liceo polivalente a-28 emilia toro de balmaceda/ santiago,-33.4410687,-70.6794586
instituto aleman/ osorno,-40.9114022,-73.1596745
esc. y liceo paulina von mallinckrodt/ providencia,,
ingles san jose de linderos/ buin,-33.7683016,-70.7435714
trinity college/ machali,-34.1885255,-70.7081788
creces / las condes,-33.4243477,-70.5617227
liceo polivalente santa juliana/ recoleta,-33.4068058,-70.6484647
liceo polivalente san jose de la preciosa s./ quinta normal,,
metodista/ santiago,-33.4677722,-70.6470285
saint mary joseph school/ macul,-33.4820617,-70.6103034
nueva era siglo xxi/ valparaiso,-33.1265976,-71.5710458
manquecura ciudad de los valles/ pudahuel,-33.4513644,-70.8490408
polivalente san rafael/ lo barnechea,-33.3501682,-70.5067187
san miguel de los andes/ puente alto,-33.5655526,-70.5732757
liceo madre cecilia lazzeri/ la cisterna,-33.5332918,-70.6678079
the southland/ lo barnechea,-33.3643573,-70.4964012
nuevo hispano chileno/ santiago,-33.4407129,-70.6710475
extremadura/ puente alto,-33.5993439,-70.5828167
centro educ. san carlos de aragon/ puente alto,,
centro educ. niño dios de malloco/ peñaflor,,
nuestra señora del huerto/ san joaquin,,
liceo jose domingo cañas/ quilicura,-33.3654466,-70.742455
regina pacis/ providencia,-33.4422355,-70.5917416
liceo gregorio cordovez/ la serena,-29.9024899,-71.2434883
liceo de zapallar/ zapallar,-34.9843725,-71.2145776
coronel eleuterio ramirez m./ la reina,,
australian college tercer milenio/ quilicura,,
centro educ. altair/ padre hurtado,,
alcantara / talagante,-33.6588162,-70.9183113
centro ed. dr. amador nechme/estacion central,,
centro educ. horacio aravena/ san joaquin,,
liceo polivalente francisco frias v./ la granja,,
manquecura/ puente alto,-33.563431,-70.5423791
polivalente profesor guillermo gonzalez h./ providencia,,
terraustral del sol/ maipu,-33.4993515,-70.7807226
centro educ. san lorenzo/ recoleta,,
john dewey college/ las condes,-33.4251537,-70.5894758
adventista maranata/ talca,,
la mision/ calera de tango,-33.6252583,-70.7697279
guillermo labarca/ quinta normal,-33.4408593,-70.6989058
liceo paula jaraquemada/ recoleta,-33.4258558,-70.6467735
tomas moro/ san miguel,-33.5113638,-70.65332
colegio bicentenario santa maria/ el monte,,
chilean eagles college/ la florida,-33.5261756,-70.5951299
antupiren / peñalolen,-33.4766924,-70.5444742
liceo villa macul academia ex liceo ex liceo juana de i./ macul,,
academia de estudios miraflores/ stgo,,
desiree/ colina,-33.2045493,-70.6815138
centro educ. salesianos alameda/ santiago,,
campanario/ buin,-33.7283194,-70.7758516
alberto perez/ maipu,-33.4940678,-70.76155
instituto sagrado corazon/ san bernardo,-33.5922452,-70.7087354
instituto san pablo misionero/ san bernardo,-33.5982063,-70.7003881
boston college/ maipu,-33.4909484,-70.7677641
